url,wp
https://www.amazon.com/gp/product/B00MH8ZRQ0/ref=ppx_od_dt_b_asin_image_s00?ie=UTF8&psc=1, 23.50
https://www.amazon.com/CelerSport-Running-Athletic-Cushion-Seamless/dp/B07QN3C3QJ/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.7mFFiAOlXmhZ6yqsL29B7XcPnfrPZvqvyMjIPt6ODIJY0n1WGJg1BEoI6FiPgQ1ZiAC5uiT5FEOMparSSF-cu32EvrNHZ6kUfFCpMAG5B8G8Ir9tVSfT9CSsdkEE21dktem4oCJU35_2BnAJniDmal1gxbbQJDMsAeFtQMgQHIKCekJ3YBf91E1wYUmI3GqbyV-HHStGK3Zk1Hc144Q3fdpc5tM-wf28J15q6RqLwZOGW_cpvTiWUmLjmDw-DrcCW1uL1j4n1HEgjAYkmx6q74bgaZfBa2PwUnOg04OIxBc.WaTsUzblk9UHvlSMMua29FUKKl6HuMsDOr6WXVtCcLM&dib_tag=se&keywords=socks&qid=1715274886&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, 10
https://www.amazon.com/Zojirushi-SM-KHE48XA-Stainless-Steel-16-Ounce/dp/B00GY0REZO/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=wPZKA&content-id=amzn1.sym.8b590b55-908d-4829-9f90-4c8752768e8b%3Aamzn1.symc.40e6a10e-cbc4-4fa5-81e3-4435ff64d03b&pf_rd_p=8b590b55-908d-4829-9f90-4c8752768e8b&pf_rd_r=W7GTG0HZ423ZFAE70T95&pd_rd_wg=cj8MT&pd_rd_r=4414adbb-b32b-4c3e-bf56-6db3b682f749&pd_rd_i=B00GY0REZO&th=1, 47.50
